"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 03 00:12:26 IRKT 2026","Sat Jan 03 00:12:27 IRKT 2026","470","tests","test_order","TestOrderCreate","","","Создание заказа с авторизацией и невалидными ингредиентами (two_invalid_hashes)","ОР: Система возвращает ошибку 400/500"
"passed","Sat Jan 03 00:12:37 IRKT 2026","Sat Jan 03 00:12:37 IRKT 2026","460","tests","test_order","TestOrderCreate","","","Создание заказа без ингредиентов","ОР: Система возвращает ошибку 400 Bad Request"
"passed","Sat Jan 03 00:12:55 IRKT 2026","Sat Jan 03 00:12:56 IRKT 2026","485","tests","test_user","TestUserLogin","","","Попытка авторизации пользователя с несуществующим email","ОР: Система возвращает ошибку 401 Unauthorized"
"passed","Sat Jan 03 00:12:45 IRKT 2026","Sat Jan 03 00:12:46 IRKT 2026","485","tests","test_order","TestGetOrder","","","Получение заказов неавторизованного пользователя","ОР: Возвращается ошибка 401 Unauthorized"
"passed","Sat Jan 03 00:12:31 IRKT 2026","Sat Jan 03 00:12:31 IRKT 2026","457","tests","test_order","TestOrderCreate","","","Создание заказа с авторизацией и невалидными ингредиентами (mixed_hashes)","ОР: Система возвращает ошибку 400/500"
"passed","Sat Jan 03 00:12:29 IRKT 2026","Sat Jan 03 00:12:29 IRKT 2026","477","tests","test_order","TestOrderCreate","","","Создание заказа с авторизацией и невалидными ингредиентами (empty_string_hash)","ОР: Система возвращает ошибку 400/500"
"passed","Sat Jan 03 00:12:18 IRKT 2026","Sat Jan 03 00:12:22 IRKT 2026","3594","tests","test_order","TestOrderCreate","","","Создание заказа с авторизацией (ингредиентов: 5)","ОР: Заказ успешно создан, возвращается номер заказа"
"passed","Sat Jan 03 00:12:07 IRKT 2026","Sat Jan 03 00:12:10 IRKT 2026","3619","tests","test_order","TestOrderCreate","","","Создание заказа с авторизацией (ингредиентов: 2)","ОР: Заказ успешно создан, возвращается номер заказа"
"passed","Sat Jan 03 00:12:56 IRKT 2026","Sat Jan 03 00:12:56 IRKT 2026","550","tests","test_user","TestUserLogin","","","Попытка авторизации пользователя без заполнения одного из обязательных полей","ОР: Система возвращает ошибку 401 Unauthorized"
"passed","Sat Jan 03 00:12:46 IRKT 2026","Sat Jan 03 00:12:46 IRKT 2026","1","tests","test_user","TestUserCreate","","","Создание уникального пользователя с заполнением всех обязательных полей","ОР: Пользователь успешно создан"
"passed","Sat Jan 03 00:13:01 IRKT 2026","Sat Jan 03 00:13:02 IRKT 2026","467","tests","test_user","TestUserUpdate","","","Изменение конкретного поля авторизованного пользователя (name)","ОР: Поле успешно изменено"
"passed","Sat Jan 03 00:12:50 IRKT 2026","Sat Jan 03 00:12:50 IRKT 2026","470","tests","test_user","TestUserCreate","","","Создание пользователя без заполнения одного из обязательных полей","ОР: Пользователь не создан, запрос возвращает ошибку"
"passed","Sat Jan 03 00:12:59 IRKT 2026","Sat Jan 03 00:13:00 IRKT 2026","467","tests","test_user","TestUserUpdate","","","Изменение конкретного поля авторизованного пользователя (email)","ОР: Поле успешно изменено"
"passed","Sat Jan 03 00:12:24 IRKT 2026","Sat Jan 03 00:12:25 IRKT 2026","478","tests","test_order","TestOrderCreate","","","Создание заказа без авторизации (ингредиентов: 3)","ОР: Заказ успешно создан, возвращается номер заказа"
"passed","Sat Jan 03 00:12:33 IRKT 2026","Sat Jan 03 00:12:33 IRKT 2026","447","tests","test_order","TestOrderCreate","","","Создание заказа с авторизацией и невалидными ингредиентами (not_a_hash)","ОР: Система возвращает ошибку 400/500"
"passed","Sat Jan 03 00:12:49 IRKT 2026","Sat Jan 03 00:12:50 IRKT 2026","476","tests","test_user","TestUserCreate","","","Создание пользователя без заполнения одного из обязательных полей","ОР: Пользователь не создан, запрос возвращает ошибку"
"passed","Sat Jan 03 00:12:50 IRKT 2026","Sat Jan 03 00:12:51 IRKT 2026","464","tests","test_user","TestUserCreate","","","Создание пользователя без заполнения одного из обязательных полей","ОР: Пользователь не создан, запрос возвращает ошибку"
"passed","Sat Jan 03 00:13:03 IRKT 2026","Sat Jan 03 00:13:03 IRKT 2026","513","tests","test_user","TestUserUpdate","","","Попытка изменения поля неавторизованного пользователя (email)","ОР: Система возвращает ошибку 401 Unauthorized"
"passed","Sat Jan 03 00:12:23 IRKT 2026","Sat Jan 03 00:12:24 IRKT 2026","468","tests","test_order","TestOrderCreate","","","Создание заказа без авторизации (ингредиентов: 2)","ОР: Заказ успешно создан, возвращается номер заказа"
